poem_id,prompt_id,iterations,schedule,emotion,score
2021-06-18-09-41-57,0,10,epsilon,cheated,43.5
2021-06-18-09-44-16,0,10,epsilon,surprise,41.375
2021-06-18-11-54-37,0,10,eta,apathetic,116.875
2021-06-18-11-55-14,0,10,eta,anxious,123.04166666666667
2021-06-18-11-55-53,0,10,eta,embarrassed,109.375
2021-06-18-11-56-30,0,10,eta,esteemed,136.625
2021-06-18-11-57-09,0,10,eta,safe,90.5
2021-06-18-11-57-46,0,10,eta,lost,81.625
2021-06-18-11-58-23,0,10,eta,alone,45.25
2021-06-18-11-59-02,0,10,eta,singledout,122.08333333333334
2021-06-18-11-59-40,0,10,eta,fearful,115.25
2021-06-18-12-00-18,0,10,eta,fearless,153.875
2021-06-18-12-00-55,0,10,eta,lustful,147.125
2021-06-18-12-01-32,0,10,eta,hated,131.375
2021-06-18-12-02-09,0,10,eta,independent,64.625
2021-06-18-12-02-46,0,10,eta,free,76.375
2021-06-18-12-03-24,0,10,eta,attracted,110.58333333333333
2021-06-18-12-04-03,0,10,eta,happy,83.375
2021-06-18-12-04-39,0,10,eta,sad,108.5
2021-06-18-12-05-16,0,10,eta,derailed,40.625
2021-06-18-12-05-55,0,10,eta,average,87.375
2021-06-18-12-06-32,0,10,eta,powerless,98.625
2021-06-18-12-07-10,0,10,eta,attached,83.0
2021-06-18-12-07-46,0,10,eta,angry,69.875
2021-06-18-12-08-26,0,10,eta,loved,125.29166666666666
2021-06-18-12-09-03,0,10,eta,cheated,85.125
2021-06-18-12-09-43,0,10,eta,surprise,85.125
2021-06-18-07-49-34,0,10,gamma,apathetic,42.375
2021-06-18-07-50-13,0,10,gamma,anxious,42.75
2021-06-18-07-50-58,0,10,gamma,embarrassed,95.875
2021-06-18-07-51-42,0,10,gamma,esteemed,154.125
2021-06-18-07-52-25,0,10,gamma,safe,85.625
2021-06-18-07-53-02,0,10,gamma,lost,50.375
2021-06-18-07-53-48,0,10,gamma,alone,47.125
2021-06-18-07-54-27,0,10,gamma,singledout,52.25
2021-06-18-07-55-06,0,10,gamma,fearful,43.375
2021-06-18-07-55-48,0,10,gamma,fearless,87.875
2021-06-18-07-56-31,0,10,gamma,lustful,49.75
2021-06-18-07-57-12,0,10,gamma,hated,63.25
2021-06-18-07-57-52,0,10,gamma,independent,68.375
2021-06-18-07-58-37,0,10,gamma,free,55.0
2021-06-18-07-59-22,0,10,gamma,attracted,81.5
2021-06-18-08-00-04,0,10,gamma,happy,71.0
2021-06-18-08-00-47,0,10,gamma,sad,54.375
2021-06-18-08-01-27,0,10,gamma,derailed,40.25
2021-06-18-08-02-06,0,10,gamma,average,43.25
2021-06-18-08-02-53,0,10,gamma,powerless,84.125
2021-06-18-08-03-34,0,10,gamma,attached,53.125
2021-06-18-08-04-15,0,10,gamma,angry,33.375
2021-06-18-08-04-58,0,10,gamma,loved,27.375
2021-06-18-08-05-40,0,10,gamma,cheated,42.0
2021-06-18-08-06-22,0,10,gamma,surprise,51.375
2021-06-18-12-10-12,0,10,theta,apathetic,50.875
2021-06-18-12-10-44,0,10,theta,anxious,20.625
2021-06-18-12-11-16,0,10,theta,embarrassed,43.875
2021-06-18-12-11-46,0,10,theta,esteemed,55.875
2021-06-18-12-12-17,0,10,theta,safe,46.125
2021-06-18-12-12-47,0,10,theta,lost,24.5
2021-06-18-12-13-21,0,10,theta,alone,42.625
2021-06-18-12-13-51,0,10,theta,singledout,55.625
2021-06-18-12-14-22,0,10,theta,fearful,62.75
2021-06-18-12-14-50,0,10,theta,fearless,93.0
2021-06-18-12-15-22,0,10,theta,lustful,49.25
2021-06-18-12-15-54,0,10,theta,hated,50.875
2021-06-18-12-16-25,0,10,theta,independent,35.25
2021-06-18-12-16-55,0,10,theta,free,40.125
2021-06-18-12-17-23,0,10,theta,attracted,40.5
2021-06-18-12-17-53,0,10,theta,happy,46.125
2021-06-18-12-18-24,0,10,theta,sad,64.125
2021-06-18-12-18-56,0,10,theta,derailed,39.375
2021-06-18-12-19-24,0,10,theta,average,33.125
2021-06-18-12-19-58,0,10,theta,powerless,40.0
2021-06-18-12-20-28,0,10,theta,attached,37.75
2021-06-18-12-21-00,0,10,theta,angry,48.375
2021-06-18-12-21-30,0,10,theta,loved,42.0
2021-06-18-12-21-59,0,10,theta,cheated,37.25
2021-06-18-12-22-28,0,10,theta,surprise,38.125
2021-06-18-11-12-05,0,10,zeta,apathetic,137.25
2021-06-18-11-13-50,0,10,zeta,anxious,118.54166666666666
2021-06-18-11-15-37,0,10,zeta,embarrassed,82.375
2021-06-18-11-17-21,0,10,zeta,esteemed,133.875
